date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:24:16	150584/150584	---M--	200	added ('OK')	image/svg+xml	etag:%2224c38-5af06c44e2e8d%22	https://jthemes.net/themes/html/bolby/demo/images/blog/2.svg	/Users/tinheo/websites/bolby%20template%20cv/jthemes.net/themes/html/bolby/demo/images/blog/2.svg	(from https://jthemes.net/themes/html/bolby/demo/index-dark.html)
12:24:17	48397/48397	---M--	200	added ('OK')	image/svg+xml	etag:%22bd0d-5af06c43ebd6f%22	https://jthemes.net/themes/html/bolby/demo/images/blog/3.svg	/Users/tinheo/websites/bolby%20template%20cv/jthemes.net/themes/html/bolby/demo/images/blog/3.svg	(from https://jthemes.net/themes/html/bolby/demo/index-dark.html)
12:24:17	97180/97180	---M-Z	200	added ('OK')	application/javascript	etag:%2217b9c-5af06c5295bcd-gzip%22	https://jthemes.net/themes/html/bolby/demo/js/jquery-1.12.3.min.js	/Users/tinheo/websites/bolby%20template%20cv/jthemes.net/themes/html/bolby/demo/js/jquery-1.12.3.min.js	(from https://jthemes.net/themes/html/bolby/demo/index-dark.html)
12:24:18	3601/3601	---M-Z	200	added ('OK')	application/javascript	etag:%22e11-5af06c5170c50-gzip%22	https://jthemes.net/themes/html/bolby/demo/js/jquery.easing.min.js	/Users/tinheo/websites/bolby%20template%20cv/jthemes.net/themes/html/bolby/demo/js/jquery.easing.min.js	(from https://jthemes.net/themes/html/bolby/demo/index-dark.html)
12:24:19	9028/9028	---M-Z	200	added ('OK')	application/javascript	etag:%222344-5af06c562f9c5-gzip%22	https://jthemes.net/themes/html/bolby/demo/js/jquery.waypoints.min.js	/Users/tinheo/websites/bolby%20template%20cv/jthemes.net/themes/html/bolby/demo/js/jquery.waypoints.min.js	(from https://jthemes.net/themes/html/bolby/demo/index-dark.html)
12:24:20	2181/2181	---M-Z	200	added ('OK')	application/javascript	etag:%22885-5af06c571fd82-gzip%22	https://jthemes.net/themes/html/bolby/demo/js/jquery.counterup.min.js	/Users/tinheo/websites/bolby%20template%20cv/jthemes.net/themes/html/bolby/demo/js/jquery.counterup.min.js	(from https://jthemes.net/themes/html/bolby/demo/index-dark.html)
12:24:21	19149/19149	---M-Z	200	added ('OK')	application/javascript	etag:%224acd-5af06c553c727-gzip%22	https://jthemes.net/themes/html/bolby/demo/js/popper.min.js	/Users/tinheo/websites/bolby%20template%20cv/jthemes.net/themes/html/bolby/demo/js/popper.min.js	(from https://jthemes.net/themes/html/bolby/demo/index-dark.html)
12:24:22	55775/55775	---M-Z	200	added ('OK')	application/javascript	etag:%22d9df-5af06c535330b-gzip%22	https://jthemes.net/themes/html/bolby/demo/js/bootstrap.min.js	/Users/tinheo/websites/bolby%20template%20cv/jthemes.net/themes/html/bolby/demo/js/bootstrap.min.js	(from https://jthemes.net/themes/html/bolby/demo/index-dark.html)
12:24:23	34695/34695	---M-Z	200	added ('OK')	application/javascript	etag:%228787-5af06c4ede916-gzip%22	https://jthemes.net/themes/html/bolby/demo/js/isotope.pkgd.min.js	/Users/tinheo/websites/bolby%20template%20cv/jthemes.net/themes/html/bolby/demo/js/isotope.pkgd.min.js	(from https://jthemes.net/themes/html/bolby/demo/index-dark.html)
12:24:24	21705/21705	---M-Z	200	added ('OK')	application/javascript	etag:%2254c9-5af06c4e2cd57-gzip%22	https://jthemes.net/themes/html/bolby/demo/js/infinite-scroll.min.js	/Users/tinheo/websites/bolby%20template%20cv/jthemes.net/themes/html/bolby/demo/js/infinite-scroll.min.js	(from https://jthemes.net/themes/html/bolby/demo/index-dark.html)
12:24:25	5594/5594	---M-Z	200	added ('OK')	application/javascript	etag:%2215da-5af06c544a429-gzip%22	https://jthemes.net/themes/html/bolby/demo/js/imagesloaded.pkgd.min.js	/Users/tinheo/websites/bolby%20template%20cv/jthemes.net/themes/html/bolby/demo/js/imagesloaded.pkgd.min.js	(from https://jthemes.net/themes/html/bolby/demo/index-dark.html)
12:24:26	41953/41953	---M-Z	200	added ('OK')	application/javascript	etag:%22a3e1-5af06c5a7173b-gzip%22	https://jthemes.net/themes/html/bolby/demo/js/slick.min.js	/Users/tinheo/websites/bolby%20template%20cv/jthemes.net/themes/html/bolby/demo/js/slick.min.js	(from https://jthemes.net/themes/html/bolby/demo/index-dark.html)
12:24:27	1747/1747	---M-Z	200	added ('OK')	application/javascript	etag:%226d3-5af06c538adab-gzip%22	https://jthemes.net/themes/html/bolby/demo/js/contact.js	/Users/tinheo/websites/bolby%20template%20cv/jthemes.net/themes/html/bolby/demo/js/contact.js	(from https://jthemes.net/themes/html/bolby/demo/index-dark.html)
12:24:28	11729/11729	---M-Z	200	added ('OK')	application/javascript	etag:%222dd1-5af06c4fdb7f3-gzip%22	https://jthemes.net/themes/html/bolby/demo/js/validator.js	/Users/tinheo/websites/bolby%20template%20cv/jthemes.net/themes/html/bolby/demo/js/validator.js	(from https://jthemes.net/themes/html/bolby/demo/index-dark.html)
12:24:29	8155/8155	---M-Z	200	added ('OK')	application/javascript	etag:%221fdb-5af06c5032693-gzip%22	https://jthemes.net/themes/html/bolby/demo/js/wow.min.js	/Users/tinheo/websites/bolby%20template%20cv/jthemes.net/themes/html/bolby/demo/js/wow.min.js	(from https://jthemes.net/themes/html/bolby/demo/index-dark.html)
12:24:30	1014/1014	---M-Z	200	added ('OK')	application/javascript	etag:%223f6-5af06c522280e-gzip%22	https://jthemes.net/themes/html/bolby/demo/js/morphext.min.js	/Users/tinheo/websites/bolby%20template%20cv/jthemes.net/themes/html/bolby/demo/js/morphext.min.js	(from https://jthemes.net/themes/html/bolby/demo/index-dark.html)
12:24:31	17509/17509	---M-Z	200	added ('OK')	application/javascript	etag:%224465-5af06c5481ec9-gzip%22	https://jthemes.net/themes/html/bolby/demo/js/parallax.min.js	/Users/tinheo/websites/bolby%20template%20cv/jthemes.net/themes/html/bolby/demo/js/parallax.min.js	(from https://jthemes.net/themes/html/bolby/demo/index-dark.html)
12:24:32	20216/20216	---M-Z	200	added ('OK')	application/javascript	etag:%224ef8-5af06c4f21f35-gzip%22	https://jthemes.net/themes/html/bolby/demo/js/jquery.magnific-popup.min.js	/Users/tinheo/websites/bolby%20template%20cv/jthemes.net/themes/html/bolby/demo/js/jquery.magnific-popup.min.js	(from https://jthemes.net/themes/html/bolby/demo/index-dark.html)
12:24:33	13392/13392	---M-Z	200	added ('OK')	application/javascript	etag:%223450-5af06c510f1d1-gzip%22	https://jthemes.net/themes/html/bolby/demo/js/custom.js	/Users/tinheo/websites/bolby%20template%20cv/jthemes.net/themes/html/bolby/demo/js/custom.js	(from https://jthemes.net/themes/html/bolby/demo/index-dark.html)
12:24:35	126428/126428	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221eddc-5af06c61409cb%22	https://jthemes.net/themes/html/bolby/demo/webfonts/fa-brands-400.eot	/Users/tinheo/websites/bolby%20template%20cv/jthemes.net/themes/html/bolby/demo/webfonts/fa-brands-400.eot	(from https://jthemes.net/themes/html/bolby/demo/css/all.min.css)
12:24:36	69608/69608	---M--	200	added ('OK')	text/html	etag:%2210fe8-5af06c6434784%22	https://jthemes.net/themes/html/bolby/demo/webfonts/fa-brands-400.woff2	/Users/tinheo/websites/bolby%20template%20cv/jthemes.net/themes/html/bolby/demo/webfonts/fa-brands-400.html	(from https://jthemes.net/themes/html/bolby/demo/css/all.min.css)
12:24:36	126428/126428	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221eddc-5af06c61409cb%22	https://jthemes.net/themes/html/bolby/demo/webfonts/fa-brands-400.eot?	/Users/tinheo/websites/bolby%20template%20cv/jthemes.net/themes/html/bolby/demo/webfonts/fa-brands-400d41d.eot	(from https://jthemes.net/themes/html/bolby/demo/css/all.min.css)
12:24:37	81612/81612	---M--	200	added ('OK')	application/font-woff	etag:%2213ecc-5af06c650f382%22	https://jthemes.net/themes/html/bolby/demo/webfonts/fa-brands-400.woff	/Users/tinheo/websites/bolby%20template%20cv/jthemes.net/themes/html/bolby/demo/webfonts/fa-brands-400.woff	(from https://jthemes.net/themes/html/bolby/demo/css/all.min.css)
12:24:39	126192/126192	---M--	200	added ('OK')	application/font-sfnt	etag:%221ecf0-5af06c65a3a80%22	https://jthemes.net/themes/html/bolby/demo/webfonts/fa-brands-400.ttf	/Users/tinheo/websites/bolby%20template%20cv/jthemes.net/themes/html/bolby/demo/webfonts/fa-brands-400.ttf	(from https://jthemes.net/themes/html/bolby/demo/css/all.min.css)
12:24:40	713576/713576	---M--	200	added ('OK')	image/svg+xml	etag:%22ae368-5af06c5f8e0af%22	https://jthemes.net/themes/html/bolby/demo/webfonts/fa-brands-400.svg	/Users/tinheo/websites/bolby%20template%20cv/jthemes.net/themes/html/bolby/demo/webfonts/fa-brands-400.svg	(from https://jthemes.net/themes/html/bolby/demo/css/all.min.css)
12:24:41	40460/40460	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%229e0c-5af06c661db9f%22	https://jthemes.net/themes/html/bolby/demo/webfonts/fa-regular-400.eot	/Users/tinheo/websites/bolby%20template%20cv/jthemes.net/themes/html/bolby/demo/webfonts/fa-regular-400.eot	(from https://jthemes.net/themes/html/bolby/demo/css/all.min.css)
12:24:41	40460/40460	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%229e0c-5af06c661db9f%22	https://jthemes.net/themes/html/bolby/demo/webfonts/fa-regular-400.eot?	/Users/tinheo/websites/bolby%20template%20cv/jthemes.net/themes/html/bolby/demo/webfonts/fa-regular-400d41d.eot	(from https://jthemes.net/themes/html/bolby/demo/css/all.min.css)
12:24:42	14844/14844	---M--	200	added ('OK')	text/html	etag:%2239fc-5af06c5ba31d8%22	https://jthemes.net/themes/html/bolby/demo/webfonts/fa-regular-400.woff2	/Users/tinheo/websites/bolby%20template%20cv/jthemes.net/themes/html/bolby/demo/webfonts/fa-regular-400.html	(from https://jthemes.net/themes/html/bolby/demo/css/all.min.css)
12:24:43	18112/18112	---M--	200	added ('OK')	application/font-woff	etag:%2246c0-5af06c5f4e90f%22	https://jthemes.net/themes/html/bolby/demo/webfonts/fa-regular-400.woff	/Users/tinheo/websites/bolby%20template%20cv/jthemes.net/themes/html/bolby/demo/webfonts/fa-regular-400.woff	(from https://jthemes.net/themes/html/bolby/demo/css/all.min.css)
12:24:44	40232/40232	---M--	200	added ('OK')	application/font-sfnt	etag:%229d28-5af06c633f5a6%22	https://jthemes.net/themes/html/bolby/demo/webfonts/fa-regular-400.ttf	/Users/tinheo/websites/bolby%20template%20cv/jthemes.net/themes/html/bolby/demo/webfonts/fa-regular-400.ttf	(from https://jthemes.net/themes/html/bolby/demo/css/all.min.css)
12:24:46	140249/140249	---M--	200	added ('OK')	image/svg+xml	etag:%22223d9-5af06c5e558b1%22	https://jthemes.net/themes/html/bolby/demo/webfonts/fa-regular-400.svg	/Users/tinheo/websites/bolby%20template%20cv/jthemes.net/themes/html/bolby/demo/webfonts/fa-regular-400.svg	(from https://jthemes.net/themes/html/bolby/demo/css/all.min.css)
12:24:48	197172/197172	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2230234-5af06c5ce7555%22	https://jthemes.net/themes/html/bolby/demo/webfonts/fa-solid-900.eot	/Users/tinheo/websites/bolby%20template%20cv/jthemes.net/themes/html/bolby/demo/webfonts/fa-solid-900.eot	(from https://jthemes.net/themes/html/bolby/demo/css/all.min.css)
